OVERLAPS 0
(24, 1) (-1, 7810.0, 10710.0, 9485.0)
(24, 2) (-1, 11280.0, 13580.0, 12776.0)
(25, 0) (0, 7810.0, 9690.0, 8403.0)
(25, 1) (1, 3050.0, 3310.0, 3226.0)
(25, 2) (1, 3840.0, 4220.0, 4157.0)
(26, 0) (0, 3050.0, 3130.0, 3090.0)
(26, 1) (-1, 9690.0, 12290.0, 10306.2)
(26, 2) (-1, 4890.0, 6490.0, 4958.2)
(26, 3) (-1, 8090.0, 9690.0, 8121.5)
(26, 4) (-1, 11580.0, 13580.0, 11722.2)
(27, 0) (0, 4012.0, 6588.0, 4102.0)
(27, 1) (-1, 11380.0, 13580.0, 11957.2)
(27, 2) (0, 10680.0, 13580.0, 10846.8)
(27, 3) (0, 4900.0, 7200.0, 5703.2)
(27, 4) (1, 2660.0, 4860.0, 4220.2)
(28, 0) (-1, 9340.0, 11140.0, 9479.0)
(28, 1) (1, 9250.0, 10950.0, 10842.8)
(29, 0) (0, 7270.0, 7670.0, 7470.0)
(29, 1) (1, 2310.0, 3610.0, 3293.0)
(29, 2) (0, 4240.0, 5140.0, 4276.0)
(29, 3) (0, 6930.0, 8730.0, 7526.0)
(29, 4) (-1, 7490.0, 9090.0, 7526.0)
(30, 0) (-1, 2370.0, 2810.0, 2454.0)
(30, 1) (-1, 8260.0, 9560.0, 8396.5)
(31, 0) (0, 5340.0, 5450.0, 5395.0)
(31, 1) (1, 2660.0, 4160.0, 3771.8)
(31, 2) (-1, 7810.0, 10710.0, 8152.2)
(31, 3) (0, 7740.0, 9140.0, 8728.8)
(31, 4) (0, 2660.0, 4860.0, 3768.2)
(32, 0) (0, 6595.0, 6875.0, 6735.0)
(32, 1) (-1, 4920.0, 6820.0, 5066.2)
(32, 2) (0, 4900.0, 7200.0, 5066.2)
(32, 3) (0, 200.0, 2700.0, 1386.8)
(32, 4) (1, 200.0, 1200.0, 660.2)
(33, 0) (0, 5340.0, 6380.0, 5424.0)
(33, 1) (-1, 9690.0, 12290.0, 10100.5)
(33, 2) (-1, 8210.0, 10710.0, 8346.5)
